id	iata	name	country	latitude	longitude
1199	CCR	Buchanan Field Airport	United States	37.990215	-122.05613
1209	CDB	Cold Bay Airport	United States	55.20229	-162.7197
1210	CDC	Cedar City Regional Airport	United States	37.69609	-113.09721
1223	CDR	Chadron Municipal Airport	United States	42.828926	-103.0968
1227	CDV	Merle K.  Smith Airport	United States	60.493435	-145.47572
1228	CDW	Essex County Airport	United States	40.875565	-74.27827
1232	CEC	Del Norte County Airport 	United States	41.777664	-124.235695
1253	CEZ	Cortez Municipal Airport	United States	37.30267	-108.62805
1272	CGA	Craig Seaplane Base	United States	55.478535	-133.14688
1280	CGI	Cape Girardeau Regional Airport	United States	37.225357	-89.5701
1294	CHA	Chattanooga Metropolitan Airport 	United States	35.03745	-85.197014
1306	CHO	Charlottesville–Albemarle Airport	United States	38.13949	-78.451614
1310	CHS	Charleston International Airport / Charleston Air Force Base	United States	32.894268	-80.03816
1312	CHU	Chuathbaluk Airport 	United States	61.583492	-159.23798
1319	CID	The Eastern Iowa Airport	United States	41.886387	-91.70698
1326	CIK	Chalkyitsik Airport	United States	66.644745	-143.74059
1336	CIU	Chippewa County International Airport	United States	46.25776	-84.47442
1354	CKB	North Central West Virginia Airport	United States	39.300655	-80.22592
1356	CKD	Crooked Creek Airport 	United States	61.867798	-158.13434
1372	CKX	Chicken Airport	United States	64.06644	-141.95103
1376	CLD	McClellan–Palomar Airport 	United States	33.126823	-117.27924
1377	CLE	Cleveland Hopkins International Airport	United States	41.4058	-81.85387
1383	CLL	Easterwood Airport 	United States	30.591007	-96.36276
1387	CLP	Clarks Point Airport	United States	58.83714	-158.52574
1391	CLT	Charlotte Douglas International Airport	United States	35.2144	-80.94731
1405	CMH	John Glenn Columbus International Airport	United States	39.99994	-82.88718
1406	CMI	University of Illinois Willard Airport	United States	40.036495	-88.263985
1421	CMX	Houghton County Memorial Airport	United States	47.16865	-88.493996
1436	CNM	Cavern City Air Terminal	United States	32.345585	-104.25269
1448	CNY	Canyonlands Field	United States	38.757263	-109.752174
1453	COD	Yellowstone Regional Airport	United States	44.520443	-109.02258
1468	COS	Colorado Springs Airport	United States	38.801712	-104.70261
1470	COU	Columbia Regional Airport	United States	38.815525	-92.219376
1487	CPR	Casper–Natrona County International Airport	United States	42.897274	-106.46485
